neighbourhood_158,occ_year,total_collisions,fatalities,injury_collisions,pd_collisions,ftr_collisions,pedestrian_collisions,bicycle_collisions,motorcycle_collisions,automobile_collisions
Milliken (130),2015,836,1,148,566,136,21,14,1,832
Milliken (130),2016,938,0,165,611,177,16,18,4,931
Milliken (130),2017,980,1,189,643,158,23,12,1,976
Milliken (130),2018,970,0,134,663,186,20,9,5,950
Milliken (130),2019,1007,2,162,677,185,22,17,1,997
Milliken (130),2020,517,0,60,412,53,14,6,1,514
Milliken (130),2021,539,1,97,382,78,8,16,3,538
Milliken (130),2022,772,0,99,631,93,12,16,6,767
Milliken (130),2023,915,0,116,612,215,12,17,3,911
Milliken (130),2024,997,3,153,627,222,27,19,2,991
Milliken (130),2025,982,1,134,649,205,20,12,2,979
Mimico-Queensway (160),2014,263,0,47,183,38,10,5,1,261
Mimico-Queensway (160),2015,355,1,63,245,58,8,2,2,354
Mimico-Queensway (160),2016,351,0,57,243,58,5,2,3,345
Mimico-Queensway (160),2017,363,0,64,260,50,9,3,3,360
Mimico-Queensway (160),2018,362,1,66,252,50,11,6,1,347
Mimico-Queensway (160),2019,340,0,44,270,48,8,7,1,335
Mimico-Queensway (160),2020,239,2,31,184,35,7,8,2,234
Mimico-Queensway (160),2021,201,1,31,151,29,5,7,0,199
Mimico-Queensway (160),2022,283,1,38,226,22,4,11,0,282
Mimico-Queensway (160),2023,348,0,55,239,55,4,6,5,345
Mimico-Queensway (160),2024,351,0,60,234,58,4,8,2,350
Mimico-Queensway (160),2025,318,1,66,200,51,6,15,1,312
Morningside (135),2014,166,0,24,111,33,3,0,0,164
Morningside (135),2015,216,0,33,141,44,5,1,1,216
Morningside (135),2016,224,0,46,123,59,7,2,3,224
Morningside (135),2017,237,0,48,150,43,7,0,2,236
Morningside (135),2018,227,1,56,143,37,14,1,1,225
Morningside (135),2019,240,0,41,167,40,6,0,2,238
Morningside (135),2020,149,1,23,110,18,3,2,1,147
Morningside (135),2021,123,1,23,91,14,9,3,0,123
Morningside (135),2022,177,0,29,132,28,1,3,0,177
Morningside (135),2023,200,0,23,121,67,8,0,1,199
Morningside (135),2024,199,0,26,120,56,7,0,0,198
Morningside (135),2025,208,0,30,138,42,10,1,1,205
Morningside Heights (144),2014,467,0,67,335,70,7,1,2,465
Morningside Heights (144),2015,539,1,87,366,99,8,4,3,535
Morningside Heights (144),2016,633,2,116,408,126,9,4,6,624
Morningside Heights (144),2017,585,3,109,384,107,6,2,3,583
Morningside Heights (144),2018,613,1,117,407,106,16,1,1,604
Morningside Heights (144),2019,655,0,102,446,117,9,3,3,647
Morningside Heights (144),2020,399,0,55,301,55,10,5,2,394
Morningside Heights (144),2021,365,0,67,253,55,6,2,2,365
Morningside Heights (144),2022,551,0,89,411,85,11,3,0,550
Morningside Heights (144),2023,735,1,135,472,150,30,2,4,732
Morningside Heights (144),2024,801,1,148,511,152,16,4,3,795
Morningside Heights (144),2025,800,1,153,493,159,16,11,0,796
Moss Park (73),2014,503,0,95,337,77,33,28,7,498
Moss Park (73),2015,514,2,93,350,89,27,27,7,510
Moss Park (73),2016,610,3,113,412,97,25,32,5,607
Moss Park (73),2017,684,2,118,473,111,28,24,13,674
Moss Park (73),2018,696,1,122,483,114,37,21,9,671
Moss Park (73),2019,647,0,108,462,98,28,26,2,634
Moss Park (73),2020,458,1,78,359,39,26,19,3,452
Moss Park (73),2021,383,2,62,281,53,19,16,0,381
Moss Park (73),2022,520,0,63,423,47,16,20,3,514
Moss Park (73),2023,715,0,97,512,110,24,32,3,701
Moss Park (73),2024,617,0,101,392,128,13,31,10,607
Moss Park (73),2025,610,1,108,388,115,24,37,3,597
Mount Dennis (115),2014,180,0,37,115,31,12,7,1,178
Mount Dennis (115),2015,187,0,52,106,38,10,6,3,185
Mount Dennis (115),2016,195,0,45,114,45,10,2,0,194
Mount Dennis (115),2017,207,1,46,135,37,14,0,1,202
Mount Dennis (115),2018,191,0,38,115,48,14,0,2,188
Mount Dennis (115),2019,169,0,31,120,34,8,2,1,167
Mount Dennis (115),2020,112,0,24,78,13,6,2,1,111
Mount Dennis (115),2021,109,0,17,80,19,6,0,2,108
Mount Dennis (115),2022,150,0,31,109,12,6,1,4,148
Mount Dennis (115),2023,149,0,33,87,30,9,0,1,149
Mount Dennis (115),2024,171,0,37,89,45,7,4,3,169
Mount Dennis (115),2025,169,0,27,100,42,4,4,0,167
Mount Olive-Silverstone-Jamestown (2),2014,328,0,66,185,79,15,4,3,327
Mount Olive-Silverstone-Jamestown (2),2015,363,0,71,219,87,18,5,3,361
Mount Olive-Silverstone-Jamestown (2),2016,388,0,74,218,106,15,3,2,385
Mount Olive-Silverstone-Jamestown (2),2017,461,0,87,277,121,19,2,1,455
Mount Olive-Silverstone-Jamestown (2),2018,485,2,77,298,122,14,5,1,469
Mount Olive-Silverstone-Jamestown (2),2019,470,0,81,337,98,12,5,0,462
Mount Olive-Silverstone-Jamestown (2),2020,264,2,35,195,44,11,5,1,261
Mount Olive-Silverstone-Jamestown (2),2021,302,0,49,217,57,4,5,3,299
Mount Olive-Silverstone-Jamestown (2),2022,380,1,45,311,25,13,3,0,379
Mount Olive-Silverstone-Jamestown (2),2023,386,1,51,265,71,10,4,1,385
Mount Olive-Silverstone-Jamestown (2),2024,347,0,59,200,88,10,8,0,345
Mount Olive-Silverstone-Jamestown (2),2025,380,1,61,220,98,10,4,1,377
Mount Pleasant East (99),2014,339,0,32,254,55,8,3,5,337
Mount Pleasant East (99),2015,363,0,48,270,49,11,5,5,361
Mount Pleasant East (99),2016,317,0,42,223,56,14,1,1,314
Mount Pleasant East (99),2017,348,0,41,250,61,11,4,2,344
Mount Pleasant East (99),2018,332,0,35,256,45,5,1,0,327
Mount Pleasant East (99),2019,326,0,21,259,56,5,1,2,319
Mount Pleasant East (99),2020,209,0,19,168,28,6,3,1,209
Mount Pleasant East (99),2021,192,0,27,147,27,6,1,1,192
Mount Pleasant East (99),2022,239,0,18,205,29,6,3,1,237
Mount Pleasant East (99),2023,325,1,28,235,65,11,2,3,320
Mount Pleasant East (99),2024,337,0,29,251,58,4,0,4,335
Mount Pleasant East (99),2025,291,0,34,221,39,7,2,0,291
New Toronto (18),2014,121,0,17,78,28,4,3,0,121
New Toronto (18),2015,133,0,31,75,34,9,7,3,133
New Toronto (18),2016,130,2,19,83,29,5,3,0,126
New Toronto (18),2017,143,1,21,87,39,4,5,4,139
New Toronto (18),2018,153,2,31,96,34,11,3,0,150
New Toronto (18),2019,154,0,23,112,28,8,6,0,147
New Toronto (18),2020,102,0,13,72,23,2,3,2,99
New Toronto (18),2021,103,1,13,79,16,8,3,2,102
New Toronto (18),2022,131,0,13,105,14,4,4,0,130
New Toronto (18),2023,133,1,21,80,32,7,1,2,130
New Toronto (18),2024,145,0,22,90,33,6,5,2,144
New Toronto (18),2025,128,0,20,75,34,3,4,1,126
Newtonbrook East (50),2014,462,1,89,318,59,18,4,3,460
Newtonbrook East (50),2015,502,0,77,360,72,16,3,2,500
Newtonbrook East (50),2016,609,2,106,415,96,15,3,1,601
Newtonbrook East (50),2017,543,0,88,380,84,25,5,2,531
Newtonbrook East (50),2018,528,1,77,362,93,13,3,1,517
Newtonbrook East (50),2019,467,0,60,363,57,11,2,2,462
Newtonbrook East (50),2020,218,0,27,177,21,7,1,3,213
Newtonbrook East (50),2021,183,1,27,143,19,5,2,0,183
Newtonbrook East (50),2022,279,0,46,226,12,9,3,0,279
Newtonbrook East (50),2023,415,0,69,300,49,8,5,3,413
Newtonbrook East (50),2024,468,1,90,305,73,8,8,1,464
Newtonbrook East (50),2025,362,0,65,243,54,10,6,0,359
Newtonbrook West (36),2014,423,1,83,277,62,21,6,0,419
Newtonbrook West (36),2015,441,1,75,287,90,18,7,6,437
Newtonbrook West (36),2016,481,1,82,317,96,15,8,2,478
Newtonbrook West (36),2017,506,0,83,317,121,14,4,2,496
Newtonbrook West (36),2018,479,0,74,314,102,21,1,2,458
Newtonbrook West (36),2019,503,0,61,378,92,18,4,4,493
Newtonbrook West (36),2020,244,0,29,187,35,8,3,0,239
Newtonbrook West (36),2021,244,0,38,181,37,6,5,0,243
Newtonbrook West (36),2022,343,0,35,289,25,7,3,0,341
Newtonbrook West (36),2023,375,0,53,243,83,12,5,0,374
Newtonbrook West (36),2024,399,0,63,238,98,20,3,0,395
Newtonbrook West (36),2025,357,0,69,222,66,14,6,1,353
North Riverdale (68),2014,230,1,36,148,46,13,5,6,229
North Riverdale (68),2015,258,2,47,171,44,17,14,0,257
North Riverdale (68),2016,270,0,45,180,50,8,16,7,269
North Riverdale (68),2017,268,0,46,171,57,6,9,4,264
North Riverdale (68),2018,250,0,31,177,47,3,7,1,246
North Riverdale (68),2019,248,0,31,191,39,3,5,6,239
North Riverdale (68),2020,162,0,17,131,18,3,5,1,161
North Riverdale (68),2021,155,1,20,113,28,6,7,1,153
North Riverdale (68),2022,207,0,23,168,20,5,10,2,206
North Riverdale (68),2023,202,0,28,123,58,4,5,0,200
North Riverdale (68),2024,186,0,22,129,36,5,9,0,184
North Riverdale (68),2025,181,0,36,97,48,9,8,2,176
North St.James Town (74),2014,121,0,25,75,22,8,9,2,120
North St.James Town (74),2015,151,0,24,104,31,7,8,0,150
North St.James Town (74),2016,134,0,22,86,32,9,5,0,132
North St.James Town (74),2017,161,1,23,101,43,4,5,1,157
North St.James Town (74),2018,135,0,17,93,30,5,5,0,133
North St.James Town (74),2019,153,0,24,111,29,4,5,1,150
North St.James Town (74),2020,90,0,14,61,23,10,5,1,89
North St.James Town (74),2021,89,0,12,69,16,1,5,1,89
North St.James Town (74),2022,108,0,13,85,14,8,6,0,106
North St.James Town (74),2023,126,0,17,82,36,7,11,0,121
North St.James Town (74),2024,133,0,22,79,34,11,9,1,130
North St.James Town (74),2025,153,0,23,99,31,5,5,1,149
North Toronto (173),2014,244,0,29,175,42,15,3,3,240
North Toronto (173),2015,200,0,19,163,20,11,3,0,199
North Toronto (173),2016,267,0,32,183,55,16,2,1,263
North Toronto (173),2017,210,0,24,150,39,8,3,2,208
North Toronto (173),2018,212,0,20,151,45,9,1,1,205
North Toronto (173),2019,257,1,12,205,56,5,1,1,252
North Toronto (173),2020,135,0,6,116,20,4,1,0,135
North Toronto (173),2021,150,0,16,125,19,6,5,1,148
North Toronto (173),2022,215,0,6,191,27,6,4,0,213
North Toronto (173),2023,195,0,15,139,45,8,0,0,193
North Toronto (173),2024,239,0,14,164,62,6,3,2,234
North Toronto (173),2025,200,1,22,131,46,8,3,0,198
O'Connor-Parkview (54),2014,188,1,24,136,29,6,6,2,186
O'Connor-Parkview (54),2015,196,0,26,130,43,6,0,2,195
O'Connor-Parkview (54),2016,157,0,22,115,26,3,7,0,157
O'Connor-Parkview (54),2017,177,0,32,121,27,2,3,1,176
O'Connor-Parkview (54),2018,178,0,29,111,44,5,1,2,175
O'Connor-Parkview (54),2019,212,1,20,155,44,3,2,3,210
O'Connor-Parkview (54),2020,131,0,10,108,18,2,0,1,130
O'Connor-Parkview (54),2021,130,0,12,102,19,2,2,0,130
O'Connor-Parkview (54),2022,149,0,17,123,16,6,2,0,149
O'Connor-Parkview (54),2023,204,0,22,146,42,3,3,1,204
O'Connor-Parkview (54),2024,194,0,24,138,34,7,1,1,191
O'Connor-Parkview (54),2025,179,0,24,113,45,6,2,1,175
Oakdale-Beverley Heights (154),2014,403,0,70,254,87,16,2,0,400
Oakdale-Beverley Heights (154),2015,432,1,77,268,95,15,3,1,431
Oakdale-Beverley Heights (154),2016,516,1,65,331,133,14,2,4,514
Oakdale-Beverley Heights (154),2017,534,0,79,324,154,20,2,0,531
Oakdale-Beverley Heights (154),2018,486,2,68,302,132,17,1,4,470
Oakdale-Beverley Heights (154),2019,419,0,61,306,89,12,3,1,412
Oakdale-Beverley Heights (154),2020,290,0,35,221,46,15,5,0,286
Oakdale-Beverley Heights (154),2021,350,0,51,248,78,18,4,1,348
Oakdale-Beverley Heights (154),2022,429,1,40,351,42,18,5,2,422
Oakdale-Beverley Heights (154),2023,457,2,69,281,108,23,5,1,454
Oakdale-Beverley Heights (154),2024,475,0,90,262,125,18,6,2,469
Oakdale-Beverley Heights (154),2025,428,0,67,254,108,11,4,0,422
Oakridge (121),2014,201,0,28,143,31,8,2,3,200
Oakridge (121),2015,248,0,46,159,52,6,6,5,247
Oakridge (121),2016,245,0,39,171,38,8,8,0,243
Oakridge (121),2017,238,0,35,172,39,9,4,3,230
Oakridge (121),2018,225,0,40,159,33,8,3,5,221
Oakridge (121),2019,218,1,44,152,32,9,2,1,213
Oakridge (121),2020,131,0,23,89,21,2,4,2,130
Oakridge (121),2021,132,0,17,97,21,7,1,2,132
Oakridge (121),2022,207,0,23,170,29,2,4,1,205
Oakridge (121),2023,233,0,36,154,51,5,9,0,230
Oakridge (121),2024,251,1,35,156,62,11,6,1,249
Oakridge (121),2025,224,0,35,141,48,6,11,2,219
Oakwood Village (107),2014,188,0,30,127,32,9,4,2,186
Oakwood Village (107),2015,241,0,43,156,55,11,4,3,240
Oakwood Village (107),2016,249,0,64,155,40,19,9,3,249
Oakwood Village (107),2017,244,0,34,164,57,7,2,3,240
Oakwood Village (107),2018,231,0,36,154,48,10,2,2,223
Oakwood Village (107),2019,210,0,34,155,38,13,3,1,207
Oakwood Village (107),2020,169,0,17,137,21,2,3,1,168
Oakwood Village (107),2021,144,0,19,107,32,3,5,1,143
Oakwood Village (107),2022,178,0,21,138,20,3,4,1,178
Oakwood Village (107),2023,198,1,22,137,40,5,3,0,198
Oakwood Village (107),2024,208,0,38,123,47,7,4,2,204
Oakwood Village (107),2025,197,0,42,114,41,11,0,1,194
Old East York (58),2014,409,2,47,332,31,13,2,3,407
Old East York (58),2015,558,1,87,428,44,9,6,5,556
Old East York (58),2016,534,0,98,386,59,9,8,2,532
Old East York (58),2017,494,0,88,370,45,6,2,4,490
Old East York (58),2018,404,0,76,291,46,11,2,1,396
Old East York (58),2019,449,0,64,352,40,8,2,1,444
Old East York (58),2020,296,0,36,247,21,7,5,2,295
Old East York (58),2021,303,2,35,236,39,5,4,2,302
Old East York (58),2022,442,2,59,354,39,5,4,1,442
Old East York (58),2023,503,0,85,337,91,11,7,6,499
Old East York (58),2024,504,1,80,348,77,9,6,4,502
Old East York (58),2025,496,0,84,345,70,6,4,2,493
Palmerston-Little Italy (80),2014,225,0,45,131,55,9,31,2,225
Palmerston-Little Italy (80),2015,214,0,42,131,47,9,23,10,210
Palmerston-Little Italy (80),2016,259,1,49,154,62,13,29,1,255
Palmerston-Little Italy (80),2017,220,1,36,151,41,8,17,4,215
Palmerston-Little Italy (80),2018,213,0,29,138,49,7,13,3,204
Palmerston-Little Italy (80),2019,235,0,23,186,45,10,12,3,225
Palmerston-Little Italy (80),2020,147,0,16,110,27,9,12,2,143
Palmerston-Little Italy (80),2021,160,0,16,131,26,6,10,0,157
Palmerston-Little Italy (80),2022,174,0,20,140,19,6,10,1,167
Palmerston-Little Italy (80),2023,205,0,32,130,46,6,26,0,196
Palmerston-Little Italy (80),2024,250,0,42,146,65,12,26,1,246
Palmerston-Little Italy (80),2025,223,0,37,120,67,5,23,2,214
Parkwoods-O'Connor Hills (149),2014,308,0,43,221,48,8,1,2,307
Parkwoods-O'Connor Hills (149),2015,346,0,49,262,37,7,0,3,342
Parkwoods-O'Connor Hills (149),2016,328,1,52,242,36,7,1,1,327
Parkwoods-O'Connor Hills (149),2017,374,0,68,268,42,5,1,2,372
Parkwoods-O'Connor Hills (149),2018,302,0,46,228,37,5,0,0,296
Parkwoods-O'Connor Hills (149),2019,333,1,45,245,50,4,0,2,327
Parkwoods-O'Connor Hills (149),2020,162,0,26,112,25,2,2,0,162
Parkwoods-O'Connor Hills (149),2021,197,0,34,146,19,4,2,0,197
Parkwoods-O'Connor Hills (149),2022,199,0,30,163,13,2,0,3,198
Parkwoods-O'Connor Hills (149),2023,224,0,29,152,47,6,1,2,221
Parkwoods-O'Connor Hills (149),2024,229,0,38,138,55,2,0,2,228
Parkwoods-O'Connor Hills (149),2025,218,0,36,127,57,5,0,2,217
Pelmo Park-Humberlea (23),2014,176,0,27,114,36,5,0,1,176
Pelmo Park-Humberlea (23),2015,229,0,34,157,46,2,3,1,229
Pelmo Park-Humberlea (23),2016,266,0,45,159,72,6,4,1,266
Pelmo Park-Humberlea (23),2017,288,0,39,189,74,5,2,1,287
Pelmo Park-Humberlea (23),2018,302,0,42,204,71,8,0,2,291
Pelmo Park-Humberlea (23),2019,251,0,31,186,48,7,3,1,248
Pelmo Park-Humberlea (23),2020,165,0,13,129,33,3,0,1,163
Pelmo Park-Humberlea (23),2021,176,0,22,132,40,3,4,1,174
Pelmo Park-Humberlea (23),2022,244,2,20,200,23,6,5,0,243
Pelmo Park-Humberlea (23),2023,232,0,46,142,45,2,2,2,229
Pelmo Park-Humberlea (23),2024,261,0,54,152,56,7,5,1,260
Pelmo Park-Humberlea (23),2025,246,1,55,139,51,5,3,1,244
Playter Estates-Danforth (67),2014,116,0,18,77,23,3,6,2,116
Playter Estates-Danforth (67),2015,122,0,24,75,27,8,6,4,122
Playter Estates-Danforth (67),2016,124,0,20,58,47,7,4,3,121
Playter Estates-Danforth (67),2017,140,0,26,92,27,1,5,3,138
Playter Estates-Danforth (67),2018,120,0,23,70,29,5,6,1,114
Playter Estates-Danforth (67),2019,138,0,13,108,22,2,5,1,137
Playter Estates-Danforth (67),2020,99,0,18,73,13,2,12,0,97
Playter Estates-Danforth (67),2021,82,0,10,59,17,1,5,2,81
Playter Estates-Danforth (67),2022,138,0,12,114,24,3,1,0,137
Playter Estates-Danforth (67),2023,221,0,22,147,62,1,14,0,221
Playter Estates-Danforth (67),2024,202,0,35,124,45,3,13,0,199
Playter Estates-Danforth (67),2025,204,0,33,126,45,6,9,1,201
Pleasant View (46),2014,196,0,26,144,27,6,3,1,195
Pleasant View (46),2015,210,0,28,153,29,4,3,0,209
Pleasant View (46),2016,237,0,33,171,39,5,0,1,235
Pleasant View (46),2017,228,0,35,172,23,3,3,3,226
Pleasant View (46),2018,207,0,31,144,34,4,1,2,205
Pleasant View (46),2019,234,0,29,181,30,5,0,0,232
Pleasant View (46),2020,115,0,17,90,12,5,0,0,112
Pleasant View (46),2021,100,0,15,71,16,4,0,1,99
Pleasant View (46),2022,175,0,14,150,17,3,3,1,174
Pleasant View (46),2023,192,0,20,149,28,6,2,0,190
Pleasant View (46),2024,208,0,34,133,43,4,4,0,207
Pleasant View (46),2025,176,0,46,100,31,5,5,0,176
Princess-Rosethorn (10),2014,128,0,19,91,19,5,3,0,125
Princess-Rosethorn (10),2015,129,0,19,93,20,3,1,0,129
Princess-Rosethorn (10),2016,106,0,20,72,14,2,1,0,106
Princess-Rosethorn (10),2017,148,0,26,103,21,1,2,0,146
Princess-Rosethorn (10),2018,136,0,18,94,25,1,0,1,131
Princess-Rosethorn (10),2019,139,0,21,109,19,0,4,0,138
Princess-Rosethorn (10),2020,71,0,12,56,5,0,3,1,71
Princess-Rosethorn (10),2021,68,1,10,49,15,1,2,0,67
Princess-Rosethorn (10),2022,124,0,15,107,2,2,0,0,123
Princess-Rosethorn (10),2023,102,0,13,76,13,1,1,1,100
Princess-Rosethorn (10),2024,102,0,8,71,23,1,2,0,100
Princess-Rosethorn (10),2025,93,0,10,67,16,1,0,1,92
Regent Park (72),2014,164,1,23,113,28,7,10,3,162
Regent Park (72),2015,162,0,34,104,27,9,8,2,160
Regent Park (72),2016,219,1,39,140,45,12,9,3,218
Regent Park (72),2017,157,0,31,100,32,9,8,1,155
Regent Park (72),2018,190,0,32,122,43,3,9,4,183
Regent Park (72),2019,171,1,32,111,31,7,5,2,168
Regent Park (72),2020,120,0,24,89,16,10,8,2,117
Regent Park (72),2021,126,0,24,90,19,6,7,2,125
Regent Park (72),2022,138,0,14,111,21,4,5,0,135
Regent Park (72),2023,172,0,23,117,34,14,17,1,167
Regent Park (72),2024,157,2,23,106,29,9,13,2,155
Regent Park (72),2025,171,0,29,98,46,11,16,2,165
Rexdale-Kipling (4),2014,166,1,25,120,20,7,3,0,165
Rexdale-Kipling (4),2015,204,0,34,138,39,10,2,0,203
Rexdale-Kipling (4),2016,217,1,43,138,37,8,2,1,216
Rexdale-Kipling (4),2017,233,0,46,153,43,4,3,1,230
Rexdale-Kipling (4),2018,246,0,40,174,38,7,0,2,242
Rexdale-Kipling (4),2019,267,0,28,213,40,5,0,1,260
Rexdale-Kipling (4),2020,144,0,28,95,25,3,4,0,144
Rexdale-Kipling (4),2021,150,0,29,112,14,5,3,0,150
Rexdale-Kipling (4),2022,186,0,25,153,11,2,1,1,184
Rexdale-Kipling (4),2023,200,0,33,133,34,3,1,0,199
Rexdale-Kipling (4),2024,225,0,41,156,28,3,1,1,224
Rexdale-Kipling (4),2025,200,1,34,138,27,4,3,1,197
Rockcliffe-Smythe (111),2014,307,0,46,223,39,9,1,2,306
Rockcliffe-Smythe (111),2015,379,0,65,255,67,10,2,0,379
Rockcliffe-Smythe (111),2016,384,0,78,248,72,17,5,2,380
Rockcliffe-Smythe (111),2017,391,0,62,271,66,10,4,3,386
Rockcliffe-Smythe (111),2018,397,0,52,277,83,12,3,2,383
Rockcliffe-Smythe (111),2019,369,1,41,287,64,15,4,2,367
Rockcliffe-Smythe (111),2020,284,0,30,227,40,8,3,4,281
Rockcliffe-Smythe (111),2021,283,0,30,230,42,5,3,2,283
Rockcliffe-Smythe (111),2022,354,0,33,310,15,9,5,0,354
Rockcliffe-Smythe (111),2023,378,0,59,251,69,13,6,3,374
Rockcliffe-Smythe (111),2024,352,1,70,205,77,12,6,0,350
Rockcliffe-Smythe (111),2025,330,0,44,211,75,12,6,3,327
Roncesvalles (86),2014,295,0,47,191,62,7,19,4,291
Roncesvalles (86),2015,360,0,55,236,78,19,17,10,354
Roncesvalles (86),2016,341,0,50,228,74,18,10,5,337
Roncesvalles (86),2017,288,0,36,193,63,10,8,2,283
Roncesvalles (86),2018,344,0,42,243,66,7,9,2,329
Roncesvalles (86),2019,349,0,35,273,65,8,8,4,341
Roncesvalles (86),2020,206,0,22,156,39,5,10,5,200
Roncesvalles (86),2021,196,0,23,157,35,10,6,1,194
Roncesvalles (86),2022,286,0,27,243,24,8,18,3,283
Roncesvalles (86),2023,365,0,55,233,79,15,21,5,355
Roncesvalles (86),2024,329,1,42,195,94,14,17,3,318
Roncesvalles (86),2025,329,0,59,192,78,14,18,3,316
Rosedale-Moore Park (98),2014,590,0,65,420,108,20,14,4,587
Rosedale-Moore Park (98),2015,634,1,77,471,89,16,20,4,628
Rosedale-Moore Park (98),2016,620,2,95,457,84,19,16,2,615
Rosedale-Moore Park (98),2017,634,2,79,472,92,21,11,5,626
Rosedale-Moore Park (98),2018,680,1,86,500,106,21,10,8,666
Rosedale-Moore Park (98),2019,730,1,71,572,121,24,14,8,717
Rosedale-Moore Park (98),2020,362,0,34,298,42,7,7,4,355
Rosedale-Moore Park (98),2021,365,0,42,289,43,6,17,3,357
Rosedale-Moore Park (98),2022,489,1,40,418,43,12,17,2,481
Rosedale-Moore Park (98),2023,580,1,76,407,105,12,37,3,568
Rosedale-Moore Park (98),2024,603,1,96,405,104,15,44,3,593
Rosedale-Moore Park (98),2025,557,0,91,370,97,8,26,3,538
Runnymede-Bloor West Village (89),2014,217,0,29,141,50,11,2,2,217
Runnymede-Bloor West Village (89),2015,209,0,29,139,43,12,3,1,209
Runnymede-Bloor West Village (89),2016,225,1,37,158,33,11,2,1,223
Runnymede-Bloor West Village (89),2017,264,1,37,184,48,8,4,1,259
Runnymede-Bloor West Village (89),2018,250,0,27,175,50,5,4,2,243
Runnymede-Bloor West Village (89),2019,240,0,19,189,43,7,3,2,238
Runnymede-Bloor West Village (89),2020,142,0,15,113,25,5,4,0,139
Runnymede-Bloor West Village (89),2021,135,0,11,114,17,3,4,0,134
Runnymede-Bloor West Village (89),2022,180,0,11,158,12,3,7,1,176
Runnymede-Bloor West Village (89),2023,240,0,33,168,39,6,5,0,235
Runnymede-Bloor West Village (89),2024,225,0,36,146,43,4,6,3,220
Runnymede-Bloor West Village (89),2025,191,0,24,127,40,6,4,2,186
Rustic (28),2014,276,0,45,203,31,9,0,0,276
Rustic (28),2015,317,1,53,235,34,6,2,2,317
Rustic (28),2016,287,0,61,187,45,8,5,2,284
Rustic (28),2017,293,0,50,223,38,7,0,3,293
Rustic (28),2018,254,0,42,174,45,6,1,2,246
Rustic (28),2019,269,0,32,223,30,3,0,1,265
Rustic (28),2020,188,0,27,152,21,6,1,4,185
Rustic (28),2021,161,0,17,128,20,5,0,1,160
Rustic (28),2022,227,0,34,184,10,5,2,1,226
Rustic (28),2023,265,0,47,175,44,5,2,0,264
Rustic (28),2024,271,0,67,159,45,9,4,0,271
Rustic (28),2025,260,0,48,182,31,4,5,2,257
Scarborough Village (139),2014,165,1,26,105,35,8,3,1,164
Scarborough Village (139),2015,205,1,40,128,42,11,3,1,204
Scarborough Village (139),2016,199,1,37,123,45,16,1,1,193
Scarborough Village (139),2017,234,0,44,159,40,11,3,1,232
Scarborough Village (139),2018,193,0,38,115,54,10,2,1,184
Scarborough Village (139),2019,209,0,27,134,56,6,0,2,205
Scarborough Village (139),2020,139,0,22,100,24,6,2,1,137
Scarborough Village (139),2021,141,0,13,112,22,3,2,2,140
Scarborough Village (139),2022,209,0,31,160,28,10,2,0,208
Scarborough Village (139),2023,191,1,31,114,54,8,1,1,190
Scarborough Village (139),2024,218,0,36,136,50,10,5,1,216
Scarborough Village (139),2025,226,1,33,144,50,10,4,3,225
South Eglinton-Davisville (174),2014,172,0,15,121,38,8,3,2,172
South Eglinton-Davisville (174),2015,166,0,11,117,40,4,1,3,163
South Eglinton-Davisville (174),2016,175,0,15,130,30,7,1,1,174
South Eglinton-Davisville (174),2017,173,0,27,117,31,11,2,2,172
South Eglinton-Davisville (174),2018,196,0,24,135,39,8,2,3,186
South Eglinton-Davisville (174),2019,154,0,15,121,22,5,0,1,151
South Eglinton-Davisville (174),2020,103,0,13,79,11,5,0,1,101
South Eglinton-Davisville (174),2021,109,0,7,84,23,1,1,1,107
South Eglinton-Davisville (174),2022,136,0,9,118,17,6,5,0,131
South Eglinton-Davisville (174),2023,174,3,12,117,44,6,4,1,174
South Eglinton-Davisville (174),2024,176,0,19,118,40,9,5,1,175
South Eglinton-Davisville (174),2025,160,0,19,98,43,7,3,1,159
South Parkdale (85),2014,638,2,79,477,85,23,9,8,631
South Parkdale (85),2015,869,1,107,662,114,12,15,9,863
South Parkdale (85),2016,888,2,132,655,119,20,10,12,882
South Parkdale (85),2017,901,2,139,640,143,20,20,12,885
South Parkdale (85),2018,877,2,109,665,120,11,5,6,858
South Parkdale (85),2019,802,1,70,668,111,18,5,6,791
South Parkdale (85),2020,457,0,45,378,51,10,11,4,451
South Parkdale (85),2021,474,0,41,405,47,11,5,3,474
South Parkdale (85),2022,632,2,54,534,52,14,8,2,627
South Parkdale (85),2023,785,1,103,539,152,11,12,4,773
South Parkdale (85),2024,962,0,153,667,144,12,14,6,952
South Parkdale (85),2025,866,1,134,574,159,19,8,6,856
South Riverdale (70),2014,709,0,83,496,135,22,23,14,696
South Riverdale (70),2015,818,2,121,574,140,31,27,12,812
South Riverdale (70),2016,847,1,133,583,159,19,31,13,837
South Riverdale (70),2017,975,0,151,678,172,26,26,9,964
South Riverdale (70),2018,986,2,144,692,171,23,32,12,948
South Riverdale (70),2019,954,0,116,689,194,23,23,12,932
South Riverdale (70),2020,599,0,79,464,76,14,22,6,593
South Riverdale (70),2021,580,1,79,427,91,18,24,6,575
South Riverdale (70),2022,608,0,73,489,84,20,17,4,598
South Riverdale (70),2023,782,1,97,512,196,15,34,3,763
South Riverdale (70),2024,789,1,115,497,181,17,27,8,779
