EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20141321730,1/11/2014 5:00:00 AM,Milliken (130),Break and Enter,B&E,NA,NA,NA,NA
GO-20141329213,1/12/2014 5:00:00 AM,Kingsview Village-The Westway (6),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141332482,1/12/2014 5:00:00 AM,Kensington-Chinatown (78),Break and Enter,B&E,NA,NA,NA,NA
GO-20141331946,1/12/2014 5:00:00 AM,North St.James Town (74),Break and Enter,B&E,NA,NA,NA,NA
GO-20141330873,1/12/2014 5:00:00 AM,Parkwoods-O'Connor Hills (149),Break and Enter,B&E,NA,NA,NA,NA
GO-20141330819,1/12/2014 5:00:00 AM,Fenside-Parkwoods (150),Break and Enter,B&E,NA,NA,NA,NA
GO-20141329873,1/12/2014 5:00:00 AM,Scarborough Village (139),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141329381,1/12/2014 5:00:00 AM,Westminster-Branson (35),Break and Enter,B&E,NA,NA,NA,NA
GO-20141327980,1/12/2014 5:00:00 AM,Wexford/Maryvale (119),Break and Enter,B&E,NA,NA,NA,NA
GO-20141327465,1/12/2014 5:00:00 AM,O'Connor-Parkview (54),Break and Enter,B&E,NA,NA,NA,NA
GO-20141327405,1/12/2014 5:00:00 AM,Trinity-Bellwoods (81),Break and Enter,B&E,NA,NA,NA,NA
GO-20141328577,1/7/2014 5:00:00 AM,Banbury-Don Mills (42),Break and Enter,B&E,NA,NA,NA,NA
GO-20141331242,1/10/2014 5:00:00 AM,Wychwood (94),Break and Enter,B&E,NA,NA,NA,NA
GO-20141331148,1/12/2014 5:00:00 AM,North St.James Town (74),Break and Enter,B&E,NA,NA,NA,NA
GO-20141329002,1/10/2014 5:00:00 AM,North St.James Town (74),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141329929,1/9/2014 5:00:00 AM,Weston (113),Break and Enter,B&E,NA,NA,NA,NA
GO-20141329472,1/8/2014 5:00:00 AM,Yonge-St.Clair (97),Break and Enter,B&E,NA,NA,NA,NA
GO-20141328493,1/12/2014 5:00:00 AM,Rosedale-Moore Park (98),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141361021,1/12/2014 5:00:00 AM,Wellington Place (164),Break and Enter,B&E,NA,NA,NA,NA
GO-20141328701,1/11/2014 5:00:00 AM,Oakdale-Beverley Heights (154),Break and Enter,B&E,NA,NA,NA,NA
