Neighbourhood,Rank,Safety Score,Assault,Auto Theft,Break and Enter,NonMCI,Robbery,Theft Over,Total Incidents
Lambton Baby Point (114),1,100.0,353,116,137,149,28,15,798
Guildwood (140),2,97.94,451,89,133,393,67,22,1155
Woodbine-Lumsden (60),3,97.71,453,91,160,337,42,30,1113
Humber Heights-Westmount (8),4,97.43,417,265,222,330,71,37,1342
Markland Wood (12),5,97.41,333,240,247,352,94,39,1305
Princess-Rosethorn (10),6,97.02,283,386,373,464,92,53,1651
Maple Leaf (29),7,96.93,412,266,161,219,44,30,1132
Yonge-St.Clair (97),8,96.88,391,134,350,183,34,43,1135
Forest Hill South (101),9,96.45,268,363,484,261,40,69,1485
Kingsway South (15),10,96.26,372,320,307,242,107,52,1400
Bayview Woods-Steeles (49),11,96.25,432,202,341,258,44,33,1310
Centennial Scarborough (133),12,96.17,489,196,208,407,60,31,1391
Runnymede-Bloor West Village (89),13,95.62,465,259,271,267,140,32,1434
Lawrence Park South (103),14,95.61,281,471,582,367,70,67,1838
Pleasant View (46),15,95.51,469,235,220,440,106,57,1527
Avondale (153),16,95.3,527,189,160,257,51,50,1234
Blake-Jones (69),17,95.28,680,76,262,202,112,28,1360
Bridle Path-Sunnybrook-York Mills (41),18,95.07,378,274,603,226,40,60,1581
Caledonia-Fairbank (109),19,94.91,665,165,150,208,80,25,1293
Lawrence Park North (105),20,94.69,398,401,335,435,53,50,1672
Old East York (58),21,94.54,592,141,184,313,82,33,1345
Forest Hill North (102),22,94.49,492,270,386,338,95,43,1624
Alderwood (20),23,94.29,465,315,327,374,65,92,1638
