EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20141343218,1/13/2014 5:00:00 AM,Dufferin Grove (83),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141335761,1/6/2014 5:00:00 AM,Kensington-Chinatown (78),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141336266,1/13/2014 5:00:00 AM,Scarborough Village (139),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141343350,1/14/2014 5:00:00 AM,Westminster-Branson (35),Robbery,Robbery - Home Invasion,NA,NA,NA,NA
GO-20141343350,1/14/2014 5:00:00 AM,Westminster-Branson (35),Robbery,Robbery - Home Invasion,NA,NA,NA,NA
GO-20141344678,1/14/2014 5:00:00 AM,Eglinton East (138),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141341661,1/14/2014 5:00:00 AM,Moss Park (73),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141343790,1/14/2014 5:00:00 AM,Church-Wellesley (167),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141343372,1/14/2014 5:00:00 AM,Palmerston-Little Italy (80),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141340104,1/8/2014 5:00:00 AM,Humbermede (22),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141343509,1/14/2014 5:00:00 AM,Bendale-Glen Andrew (156),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141883572,1/7/2014 5:00:00 AM,Parkwoods-O'Connor Hills (149),Robbery,Robbery - Taxi,NA,NA,NA,NA
GO-20141343350,1/14/2014 5:00:00 AM,Westminster-Branson (35),Robbery,Robbery - Home Invasion,NA,NA,NA,NA
GO-20141348919,1/15/2014 5:00:00 AM,Wellington Place (164),Robbery,Robbery - Financial Institute,NA,NA,NA,NA
GO-20141353442,1/10/2014 5:00:00 AM,Beechborough-Greenbrook (112),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141350595,1/15/2014 5:00:00 AM,Hillcrest Village (48),Robbery,Robbery - Purse Snatch,NA,NA,NA,NA
GO-20141350946,1/15/2014 5:00:00 AM,Don Valley Village (47),Robbery,Robbery - Purse Snatch,NA,NA,NA,NA
GO-20141351038,1/15/2014 5:00:00 AM,Don Valley Village (47),Robbery,Robbery - Purse Snatch,NA,NA,NA,NA
GO-20141351191,1/15/2014 5:00:00 AM,North Toronto (173),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141349538,12/13/2013 5:00:00 AM,East Willowdale (152),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141347811,1/14/2014 5:00:00 AM,Englemount-Lawrence (32),Robbery,Robbery - Purse Snatch,NA,NA,NA,NA
GO-20141348725,1/14/2014 5:00:00 AM,North St.James Town (74),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141348725,1/14/2014 5:00:00 AM,North St.James Town (74),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141345181,1/15/2014 5:00:00 AM,Annex (95),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141345181,1/15/2014 5:00:00 AM,Annex (95),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141351519,1/13/2014 5:00:00 AM,Don Valley Village (47),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141354655,1/16/2014 5:00:00 AM,West Hill (136),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141355874,1/16/2014 5:00:00 AM,West Rouge (143),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141353409,1/16/2014 5:00:00 AM,Downtown Yonge East (168),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141354494,1/16/2014 5:00:00 AM,Trinity-Bellwoods (81),Robbery,Robbery - Financial Institute,NA,NA,NA,NA
GO-20141355874,1/16/2014 5:00:00 AM,West Rouge (143),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141356758,1/16/2014 5:00:00 AM,Humber Summit (21),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141357461,1/16/2014 5:00:00 AM,Weston-Pelham Park (91),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141352037,1/16/2014 5:00:00 AM,NSA,Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141362873,1/17/2014 5:00:00 AM,Englemount-Lawrence (32),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141362470,1/17/2014 5:00:00 AM,Junction Area (90),Robbery,Robbery - Financial Institute,NA,NA,NA,NA
GO-20141362167,1/17/2014 5:00:00 AM,Malvern East (146),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141361247,1/17/2014 5:00:00 AM,West Humber-Clairville (1),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141361126,1/17/2014 5:00:00 AM,Black Creek (24),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141363144,1/17/2014 5:00:00 AM,Briar Hill-Belgravia (108),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141364244,1/17/2014 5:00:00 AM,Roncesvalles (86),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141359118,1/17/2014 5:00:00 AM,Black Creek (24),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141362167,1/17/2014 5:00:00 AM,Malvern East (146),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141364244,1/17/2014 5:00:00 AM,Roncesvalles (86),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141358318,1/17/2014 5:00:00 AM,Rustic (28),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141359008,1/17/2014 5:00:00 AM,NSA,Robbery,Robbery - Purse Snatch,NA,NA,NA,NA
GO-20141359008,1/17/2014 5:00:00 AM,NSA,Robbery,Robbery - Purse Snatch,NA,NA,NA,NA
GO-20141359008,1/17/2014 5:00:00 AM,NSA,Robbery,Robbery - Purse Snatch,NA,NA,NA,NA
GO-20141359008,1/17/2014 5:00:00 AM,NSA,Robbery,Robbery - Purse Snatch,NA,NA,NA,NA
