EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20149000055,1/2/2014 5:00:00 AM,Markland Wood (12),NonMCI,Theft From Motor Vehicle Under,NA,NA,NA,NA
GO-20141267535,1/2/2014 5:00:00 AM,Downtown Yonge East (168),NonMCI,Theft From Motor Vehicle Under,NA,NA,NA,NA
GO-20141269119,1/2/2014 5:00:00 AM,Yorkdale-Glen Park (31),NonMCI,Theft From Motor Vehicle Under,NA,NA,NA,NA
GO-20149000061,1/1/2014 5:00:00 AM,Fort York-Liberty Village (163),NonMCI,Theft From Motor Vehicle Under,NA,NA,NA,NA
GO-20149000104,1/2/2014 5:00:00 AM,Wellington Place (164),NonMCI,Theft From Motor Vehicle Under,NA,NA,NA,NA
GO-20149000069,12/26/2013 5:00:00 AM,Regent Park (72),NonMCI,Theft From Motor Vehicle Under,NA,NA,NA,NA
GO-20141275390,12/15/2013 5:00:00 AM,Downtown Yonge East (168),NonMCI,Theft From Motor Vehicle Under,NA,NA,NA,NA
GO-20141274960,1/3/2014 5:00:00 AM,Princess-Rosethorn (10),NonMCI,Theft From Motor Vehicle Under,NA,NA,NA,NA
GO-20141275836,12/31/2013 5:00:00 AM,Trinity-Bellwoods (81),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141275637,1/3/2014 5:00:00 AM,St.Andrew-Windfields (40),NonMCI,Theft From Motor Vehicle Under,NA,NA,NA,NA
GO-20141275489,1/3/2014 5:00:00 AM,Yonge-Doris (151),NonMCI,Theft From Motor Vehicle Under,NA,NA,NA,NA
GO-20141276050,1/3/2014 5:00:00 AM,NSA,NonMCI,Theft From Motor Vehicle Under,NA,NA,NA,NA
GO-20141273491,1/2/2014 5:00:00 AM,West Hill (136),NonMCI,Theft From Motor Vehicle Under,NA,NA,NA,NA
