EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20141427238,11/10/2013 5:00:00 AM,Trinity-Bellwoods (81),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141431172,1/29/2014 5:00:00 AM,Annex (95),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141432068,1/29/2014 5:00:00 AM,Casa Loma (96),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141431375,12/28/2013 5:00:00 AM,Humber Bay Shores (161),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
GO-20141430862,10/14/2013 4:00:00 AM,Wychwood (94),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141433802,1/29/2014 5:00:00 AM,Harbourfront-CityPlace (165),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141436885,1/30/2014 5:00:00 AM,Wellington Place (164),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141442432,1/30/2014 5:00:00 AM,Downtown Yonge East (168),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141444562,1/31/2014 5:00:00 AM,High Park-Swansea (87),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-2014141431694,1/31/2014 5:00:00 AM,High Park-Swansea (87),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141448551,1/1/2014 5:00:00 AM,Westminster-Branson (35),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141456831,2/2/2014 5:00:00 AM,West Rouge (143),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141455610,1/29/2014 5:00:00 AM,Moss Park (73),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141454869,9/10/2013 4:00:00 AM,Regent Park (72),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141523716,1/11/2014 5:00:00 AM,Don Valley Village (47),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141456726,1/10/2014 5:00:00 AM,Clairlea-Birchmount (120),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141641161,2/1/2014 5:00:00 AM,Malvern West (145),Theft Over,Theft Over - Shoplifting,NA,NA,NA,NA
GO-20141468311,1/27/2014 5:00:00 AM,Moss Park (73),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141470964,1/14/2014 5:00:00 AM,Wexford/Maryvale (119),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141467838,6/1/2013 4:00:00 AM,West Hill (136),Theft Over,Theft - Misapprop Funds Over,NA,NA,NA,NA
GO-20141475975,2/5/2014 5:00:00 AM,Agincourt South-Malvern West (128),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141472601,1/15/2014 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141479482,2/3/2014 5:00:00 AM,O'Connor-Parkview (54),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
GO-20141482765,2/5/2014 5:00:00 AM,Yonge-Bay Corridor (170),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141482008,2/6/2014 5:00:00 AM,Milliken (130),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141487056,2/6/2014 5:00:00 AM,Yonge-Bay Corridor (170),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
GO-20141486113,2/5/2014 5:00:00 AM,York University Heights (27),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141487437,2/7/2014 5:00:00 AM,Thorncliffe Park (55),Theft Over,Theft Over - Shoplifting,NA,NA,NA,NA
GO-20141486298,2/6/2014 5:00:00 AM,Yonge-Bay Corridor (170),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141484867,6/30/2013 4:00:00 AM,Glenfield-Jane Heights (25),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141492599,1/25/2014 5:00:00 AM,Bay-Cloverhill (169),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141492300,2/8/2014 5:00:00 AM,St.Andrew-Windfields (40),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141494694,9/1/2013 4:00:00 AM,Clanton Park (33),Theft Over,Theft Over,NA,NA,NA,NA
