Neighbourhood,Crime Category,Incident Count
Golfdale-Cedarbrae-Woburn (141),Auto Theft,467
Golfdale-Cedarbrae-Woburn (141),Break and Enter,458
Golfdale-Cedarbrae-Woburn (141),NonMCI,713
Golfdale-Cedarbrae-Woburn (141),Robbery,382
Golfdale-Cedarbrae-Woburn (141),Theft Over,77
Greenwood-Coxwell (65),Assault,1240
Greenwood-Coxwell (65),Auto Theft,261
Greenwood-Coxwell (65),Break and Enter,465
Greenwood-Coxwell (65),NonMCI,674
Greenwood-Coxwell (65),Robbery,166
Greenwood-Coxwell (65),Theft Over,66
Guildwood (140),Assault,451
Guildwood (140),Auto Theft,89
Guildwood (140),Break and Enter,133
Guildwood (140),NonMCI,393
Guildwood (140),Robbery,67
Guildwood (140),Theft Over,22
Harbourfront-CityPlace (165),Assault,2323
Harbourfront-CityPlace (165),Auto Theft,268
Harbourfront-CityPlace (165),Break and Enter,699
Harbourfront-CityPlace (165),NonMCI,748
Harbourfront-CityPlace (165),Robbery,172
Harbourfront-CityPlace (165),Theft Over,189
Henry Farm (53),Assault,885
Henry Farm (53),Auto Theft,311
Henry Farm (53),Break and Enter,315
Henry Farm (53),NonMCI,556
Henry Farm (53),Robbery,77
Henry Farm (53),Theft Over,81
High Park-Swansea (87),Assault,1014
High Park-Swansea (87),Auto Theft,331
High Park-Swansea (87),Break and Enter,555
High Park-Swansea (87),NonMCI,534
High Park-Swansea (87),Robbery,156
High Park-Swansea (87),Theft Over,88
High Park North (88),Assault,1393
High Park North (88),Auto Theft,246
High Park North (88),Break and Enter,549
High Park North (88),NonMCI,432
High Park North (88),Robbery,222
High Park North (88),Theft Over,57
Highland Creek (134),Assault,619
Highland Creek (134),Auto Theft,310
Highland Creek (134),Break and Enter,269
Highland Creek (134),NonMCI,378
Highland Creek (134),Robbery,109
Highland Creek (134),Theft Over,36
Hillcrest Village (48),Assault,674
Hillcrest Village (48),Auto Theft,311
Hillcrest Village (48),Break and Enter,405
Hillcrest Village (48),NonMCI,411
Hillcrest Village (48),Robbery,181
Hillcrest Village (48),Theft Over,76
Humber Bay Shores (161),Assault,1107
Humber Bay Shores (161),Auto Theft,341
Humber Bay Shores (161),Break and Enter,282
Humber Bay Shores (161),NonMCI,359
Humber Bay Shores (161),Robbery,75
Humber Bay Shores (161),Theft Over,103
Humber Heights-Westmount (8),Assault,417
Humber Heights-Westmount (8),Auto Theft,265
Humber Heights-Westmount (8),Break and Enter,222
Humber Heights-Westmount (8),NonMCI,330
Humber Heights-Westmount (8),Robbery,71
Humber Heights-Westmount (8),Theft Over,37
Humber Summit (21),Assault,1393
Humber Summit (21),Auto Theft,1141
Humber Summit (21),Break and Enter,604
Humber Summit (21),NonMCI,830
Humber Summit (21),Robbery,278
Humber Summit (21),Theft Over,265
Humbermede (22),Assault,1450
Humbermede (22),Auto Theft,799
Humbermede (22),Break and Enter,403
Humbermede (22),NonMCI,466
Humbermede (22),Robbery,229
Humbermede (22),Theft Over,100
Humewood-Cedarvale (106),Assault,550
Humewood-Cedarvale (106),Auto Theft,298
Humewood-Cedarvale (106),Break and Enter,398
Humewood-Cedarvale (106),NonMCI,514
Humewood-Cedarvale (106),Robbery,57
Humewood-Cedarvale (106),Theft Over,52
Ionview (125),Assault,1118
Ionview (125),Auto Theft,141
Ionview (125),Break and Enter,252
Ionview (125),NonMCI,329
Ionview (125),Robbery,108
Ionview (125),Theft Over,33
Islington (158),Assault,1023
Islington (158),Auto Theft,660
Islington (158),Break and Enter,651
Islington (158),NonMCI,750
Islington (158),Robbery,174
Islington (158),Theft Over,96
Junction-Wallace Emerson (171),Assault,1966
Junction-Wallace Emerson (171),Auto Theft,333
Junction-Wallace Emerson (171),Break and Enter,834
Junction-Wallace Emerson (171),NonMCI,919
Junction-Wallace Emerson (171),Robbery,236
Junction-Wallace Emerson (171),Theft Over,91
Junction Area (90),Assault,1308
Junction Area (90),Auto Theft,388
Junction Area (90),Break and Enter,584
Junction Area (90),NonMCI,571
